,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
62,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-63819:Darius Slayton,41364-83074:Dallas Goedert,59500,7540,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,573,manfppg,0.0005434782608695652,62,mvp_prob
63,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-63819:Darius Slayton,41364-71806:Kaden Smith,58500,10115,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,575,manfppg,0.0005434782608695652,63,mvp_prob
64,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-41235:Jake Elliott,59000,14967,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,577,manfppg,0.000454793523740222,64,mvp_prob
65,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-63819:Darius Slayton,41364-71806:Kaden Smith,56000,21692,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,580,manfppg,0.0003697131026323573,65,mvp_prob
66,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-63819:Darius Slayton,41364-83074:Dallas Goedert,59000,10105,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,586,manfppg,0.0005434782608695652,66,mvp_prob
67,41364-71845:Miles Sanders,41364-64401:Saquon Barkley,41364-6826:Eli Manning,41364-27477:Sterling Shepard,41364-83074:Dallas Goedert,59000,14931,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,553,manfppg,0.0004454739843193157,67,mvp_prob
68,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-6826:Eli Manning,41364-27477:Sterling Shepard,41364-70496:Aldrick Rosas,60000,7740,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,617,manfppg,0.0005434782608695652,68,mvp_prob
69,41364-71806:Kaden Smith,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,59500,2994,13.5,15,15,10,18,0.0,0,0,0,25,0.0,0,0,0,10,71.5,25.0,10.0,627,manfppg,0.0010451505016722408,69,mvp_prob
70,41364-21980:Alshon Jeffery,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-27477:Sterling Shepard,41364-70496:Aldrick Rosas,60000,7505,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,674,manfppg,0.0005434782608695652,70,mvp_prob
71,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-27477:Sterling Shepard,41364-83074:Dallas Goedert,60000,9017,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,675,manfppg,0.000454793523740222,71,mvp_prob
72,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-71806:Kaden Smith,58000,9251,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,677,manfppg,0.0004963271788763153,72,mvp_prob
73,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-6826:Eli Manning,41364-27477:Sterling Shepard,41364-83074:Dallas Goedert,60000,9016,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,678,manfppg,0.0004963271788763153,73,mvp_prob
74,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-63819:Darius Slayton,41364-70496:Aldrick Rosas,59500,9062,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,695,manfppg,0.000454793523740222,74,mvp_prob
