,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index
24485,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48000,24485
24486,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48000,24486
24487,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48000,24487
24488,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-27771:Cody Latimer,48000,24488
24489,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-6826:Eli Manning,48000,24489
24490,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48000,24490
24491,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48000,24491
24492,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48000,24492
24493,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-40434:Greg Ward,48000,24493
24494,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-64907:JJ Arcega-Whiteside,41364-6826:Eli Manning,48000,24494
