Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1911569941,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.37,,23344,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CZNXGSOQF,
S1911569938,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,70.27,,17591,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DABUTKAOB,
S1911569933,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,70.20,,17818,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DAPSGBMLX,
S1911569928,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,76.72,,7162,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DFYTCUBQJ,
S1911569927,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.52,,39022,95808,Tournament,0.05,0,https://www.fanduel.com/entry/DGMQPLNOF,
S1911569924,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,57.87,,57677,95808,Tournament,0.05,0,https://www.fanduel.com/entry/DHAOCCZMB,
S1911569921,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,65.42,,32279,95808,Tournament,0.05,0,https://www.fanduel.com/entry/DHOLOULJX,
S1911569844,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,55.02,,67807,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BJVLGQGZL,
S1911569841,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.57,,19555,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BPEMDIWDX,
S1911569838,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,59.87,,50695,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BPSJQAIBT,
S1911569836,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.05,,12465,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BQGHCRTZP,
S1911569830,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,53.97,,72411,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BQUEPJFXL,
S1911569829,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.57,,25666,95808,Tournament,0.05,0,https://www.fanduel.com/entry/BNAWERAMN,
