,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo
34,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,59000,466,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,70.83590911200001,70.83590911200001,70.83590911200001
35,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-79974:Tarik Cohen,60000,1011,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,70.76030236300001,70.76030236300001,70.76030236300001
36,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-104421:Jesper Horsted,59000,86,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,70.591969973,70.591969973,70.591969973
37,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-63759:Tony Pollard,60000,426,20.02363587,22.72666677,14.25833384,8.25,5.036363775,20.02363587,22.72666677,14.25833384,8.25,5.036363775,20.02363587,22.72666677,14.25833384,8.25,5.036363775,70.295000255,70.295000255,70.295000255
38,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-27527:Blake Jarwin,59500,431,20.02363587,22.72666677,14.25833384,8.25,5.00909077,20.02363587,22.72666677,14.25833384,8.25,5.00909077,20.02363587,22.72666677,14.25833384,8.25,5.00909077,70.26772725000001,70.26772725000001,70.26772725000001
39,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,60000,2631,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,78.182501125,78.182501125,78.182501125
40,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,59500,3206,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,76.10143998000001,76.10143998000001,76.10143998000001
41,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-6641:Jason Witten,60000,2686,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,75.90583483099999,75.90583483099999,75.90583483099999
42,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-30733:Cordarrelle Patterson,59500,2636,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,75.555228562,75.555228562,75.555228562
43,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,58500,2676,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,75.19977400200001,75.19977400200001,75.19977400200001
44,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-79974:Tarik Cohen,59500,3186,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,75.12416725300001,75.12416725300001,75.12416725300001
45,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-69307:Eddy Pineiro,59000,3211,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,74.551440107,74.551440107,74.551440107
46,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-63759:Tony Pollard,59500,2811,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,74.543864235,74.543864235,74.543864235
47,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-27527:Blake Jarwin,59000,2816,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,74.51659123,74.51659123,74.51659123
48,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69307:Eddy Pineiro,41200-6641:Jason Witten,59500,2721,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,74.355834958,74.355834958,74.355834958
49,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-104421:Jesper Horsted,58500,2666,24.387500759999998,22.72666677,14.25833384,8.25,4.599999905,24.387500759999998,22.72666677,14.25833384,8.25,4.599999905,24.387500759999998,22.72666677,14.25833384,8.25,4.599999905,74.22250127500001,74.22250127500001,74.22250127500001
50,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-26458:Tavon Austin,60000,2621,24.387500759999998,22.72666677,14.25833384,10.18333308,2.660000038,24.387500759999998,22.72666677,14.25833384,10.18333308,2.660000038,24.387500759999998,22.72666677,14.25833384,10.18333308,2.660000038,74.21583448800001,74.21583448800001,74.21583448800001
51,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,58500,2821,24.387500759999998,22.72666677,10.18333308,12.20999985,4.599999905,24.387500759999998,22.72666677,10.18333308,12.20999985,4.599999905,24.387500759999998,22.72666677,10.18333308,12.20999985,4.599999905,74.107500365,74.107500365,74.107500365
